,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
0,4400,2021,1811,110000,2,1998.0,0,0,1,1,0,1,0,0,0,17
1,75000,2019,1102,60000,1,1248.0,0,0,1,1,0,1,0,0,0,35
2,46000,2021,4731,243000,1,1995.0,0,0,1,1,0,1,0,0,0,7
3,16000,2021,1529,97000,3,998.0,0,0,1,1,0,0,1,0,0,35
4,33000,2020,4731,347000,1,1991.0,1,0,1,1,0,1,0,0,0,0
5,29000,2022,4731,315000,2,2755.0,0,1,0,1,0,1,0,0,0,12
6,110000,2017,1353,60000,1,1591.0,0,0,1,1,0,1,0,0,0,13
7,25,2023,2417,169990,1,1499.0,0,1,0,1,0,0,1,0,0,31
8,115000,2019,2019,107000,1,1999.0,0,0,1,1,0,1,0,0,0,13
9,149000,2019,1604,85000,1,1580.0,0,0,1,1,0,1,0,0,0,35
10,155000,2017,1353,55000,1,1591.0,0,0,1,1,0,1,0,0,0,13
11,160000,2017,1353,54000,1,1591.0,0,0,1,1,0,1,0,0,0,13
12,118000,2017,1353,59000,1,1591.0,0,0,1,1,0,1,0,0,0,13
13,31620,2020,1235,77900,1,1248.0,0,0,1,1,0,1,0,0,0,35
14,108000,2015,985,42000,2,1248.0,0,0,1,1,0,0,0,1,0,35
15,505,2023,1811,162000,1,1580.0,0,0,1,1,0,1,0,0,0,13
16,505,2023,1811,162000,1,1580.0,0,0,1,1,0,1,0,0,0,13
17,505,2023,1811,162000,1,1580.0,0,0,1,1,0,1,0,0,0,13
18,505,2023,1811,162000,1,1580.0,0,0,1,1,0,1,0,0,0,13
19,505,2023,1811,162000,1,1580.0,0,0,1,1,0,1,0,0,0,13
22,124000,2017,1693,81000,1,2494.0,0,0,1,1,0,1,0,0,0,12
23,59039,2020,2130,117900,1,1199.0,0,0,1,1,0,1,0,0,0,31
24,130000,2016,1424,72900,1,1591.0,0,0,1,1,0,1,0,0,0,35
25,505,2023,2417,222000,1,1498.0,0,0,1,1,0,1,0,0,0,34
26,505,2023,2417,222000,1,1498.0,0,0,1,1,0,1,0,0,0,34
27,5000,2022,2417,145000,2,2488.0,0,0,1,1,0,1,0,0,0,17
28,79852,2020,1604,103990,1,1580.0,0,0,1,1,0,0,1,0,0,13
29,5763,2021,4731,382000,1,1991.0,1,0,1,1,0,0,0,0,1,0
30,51924,2020,2417,133900,1,1199.0,0,0,1,1,0,1,0,0,0,31
31,110000,2016,1693,72500,2,1197.0,0,0,1,1,0,1,0,0,0,21
32,95000,2016,1693,92000,3,1999.0,0,0,1,1,0,1,0,0,0,13
33,26000,2022,2417,173000,2,1999.0,0,0,1,1,0,0,1,0,0,13
34,4900,2020,1811,109900,1,998.0,0,0,1,1,0,1,0,0,0,35
35,17041,2020,1235,83900,1,1248.0,0,0,1,1,0,1,0,0,0,35
36,165000,2016,1424,59900,1,1600.0,0,0,1,1,0,1,0,0,0,23
37,43651,2020,2417,130900,1,1199.0,0,0,1,1,0,1,0,0,0,31
38,25821,2020,1811,114900,1,1998.0,0,0,1,1,0,1,0,0,0,19
39,15441,2021,1811,109900,1,1598.0,0,0,1,1,0,1,0,0,0,13
40,32000,2020,1529,100900,1,999.0,0,0,1,1,0,1,0,0,0,25
41,19266,2020,1811,121900,1,1999.0,0,0,1,1,0,1,0,0,0,35
42,18590,2020,1811,125900,1,1999.0,0,0,1,1,0,1,0,0,0,35
43,13359,2020,2417,139900,1,1199.0,0,0,1,1,0,1,0,0,0,31
44,58000,2016,1584,92000,2,1999.0,0,0,1,1,0,1,0,0,0,13
45,16343,2021,1811,130900,1,1999.0,0,0,1,1,0,1,0,0,0,35
46,505,2023,2417,260000,1,1984.0,0,0,1,1,0,1,0,0,0,27
47,505,2023,3366,288000,1,2393.0,0,1,0,1,0,0,1,0,0,12
48,505,2023,3366,288000,1,2393.0,0,1,0,1,0,0,1,0,0,12
49,3000,2022,2417,193000,1,2488.0,0,0,1,1,0,1,0,0,0,17
50,79000,2019,1835,110000,1,1499.0,0,1,0,1,0,1,0,0,0,31
51,59500,2014,1693,72000,1,1998.0,0,0,1,1,0,1,0,0,0,35
52,86000,2012,880,36000,2,1248.0,0,0,1,1,0,1,0,0,0,35
53,57839,2020,1811,79900,1,1199.0,0,0,1,1,0,1,0,0,0,31
54,165000,2019,1102,53000,1,1248.0,0,0,1,1,0,1,0,0,0,35
55,30000,2020,2417,142000,2,1591.0,0,0,1,1,0,0,1,0,0,13
56,17000,2022,2130,172000,2,1598.0,0,0,1,1,0,0,1,0,0,35
57,69000,2020,1811,94900,1,1591.0,0,0,1,1,0,1,0,0,0,13
58,28257,2020,1835,129900,1,1999.0,0,0,1,1,0,1,0,0,0,35
59,505,2023,3366,282000,1,1984.0,0,0,1,1,0,0,1,0,0,34
60,20000,2022,3366,356000,1,2487.0,0,0,1,1,0,1,0,0,0,12
61,115000,2019,1353,78900,1,998.0,0,0,1,1,0,1,0,0,0,35
62,69000,2015,1584,51000,3,1798.0,0,0,1,1,0,1,0,0,0,27
63,32985,2020,1811,114900,1,1591.0,0,0,1,1,0,1,0,0,0,13
64,92000,2017,1353,64000,1,1591.0,0,0,1,1,0,1,0,0,0,13
65,35000,2020,1102,75900,2,1248.0,0,0,1,1,0,1,0,0,0,35
66,34644,2020,1529,103900,1,998.0,0,0,1,1,0,1,0,0,0,35
67,46800,2020,1835,119900,1,1598.0,0,1,0,1,0,1,0,0,0,35
68,27300,2020,1811,125900,1,1999.0,0,0,1,1,0,1,0,0,0,35
69,16009,2020,1235,82900,1,1399.0,0,0,1,1,0,1,0,0,0,37
70,118000,2018,1604,77900,2,1998.0,0,0,1,1,0,0,1,0,0,17
71,90000,2017,1584,112000,2,1798.0,0,0,1,1,0,1,0,0,0,12
72,58275,2021,2130,127900,1,1998.0,0,0,1,1,0,1,0,0,0,19
73,11000,2022,3366,209900,1,2497.0,0,0,1,1,0,1,0,0,0,35
74,505,2023,2130,200000,1,1580.0,0,0,1,1,0,1,0,0,0,13
75,505,2023,2417,263000,1,2487.0,0,0,1,1,0,1,0,0,0,12
76,505,2023,3366,293000,1,1898.0,0,1,0,1,0,0,1,0,0,4
77,110000,2015,985,32000,2,1242.0,0,0,1,1,0,1,0,0,0,24
78,245000,2012,1074,26000,2,1396.0,0,0,1,1,0,1,0,0,0,13
79,175000,2017,1353,53000,1,1591.0,0,0,1,1,0,1,0,0,0,13
